Id de la recette (non contractuel),Nom de la recette,Catégories,Saison,Régime alimentaire,Ingrédients,Source,Fourchette de prix,Niveau de difficulté
1,Smoothie d'été,Petit déjeuner,Été,Végétarien,"[{'name': 'Nectarine ou brugnon', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}, {'name': 'Abricot, dénoyauté, cru', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}, {'name': 'Lait demi-écrémé, UHT', 'recipe_quantity': '12', 'recipe_unity': 'Cl', 'purchase_quantity': '12', 'purchase_unity': 'Cl'}, {'name': 'Sucre blanc', 'recipe_quantity': '5', 'recipe_unity': 'Gr', 'purchase_quantity': '5', 'purchase_unity': 'Gr'}]",Personnelle,Petit budget,Facile
2,Pancakes,Petit déjeuner,"Hiver, Printemps, Été, Automne","Omnivore, Végétarien, Flexitarien","[{'name': 'Farine de blé tendre ou froment T45 (pour pâtisserie)', 'recipe_quantity': '250', 'recipe_unity': 'Gr', 'purchase_quantity': '250', 'purchase_unity': 'Gr'}, {'name': 'Sucre blanc', 'recipe_quantity': '60', 'recipe_unity': 'Gr', 'purchase_quantity': '60', 'purchase_unity': 'Gr'}, {'name': 'Lait écrémé, UHT', 'recipe_quantity': '25', 'recipe_unity': 'Cl', 'purchase_quantity': '25', 'purchase_unity': 'Cl'}, {'name': 'Huile végétale (aliment moyen)', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Levure chimique ou Poudre à lever', 'recipe_quantity': '10', 'recipe_unity': 'Gr', 'purchase_quantity': '10', 'purchase_unity': 'Gr'}, {'name': 'Oeuf, cru', 'recipe_quantity': '3', 'recipe_unity': 'Unité', 'purchase_quantity': '3', 'purchase_unity': 'Unité'}]",Cuisine actuelle,Petit budget,Facile
3,Pain,Accompagnement,"Hiver, Printemps, Été, Automne","Omnivore, Végétarien, Végan, Flexitarien","[{'name': 'Levure de boulanger, déshydratée', 'recipe_quantity': '5', 'recipe_unity': 'Gr', 'purchase_quantity': '5', 'purchase_unity': 'Gr'}, {'name': 'Eau du robinet', 'recipe_quantity': '30', 'recipe_unity': 'Cl', 'purchase_quantity': '30', 'purchase_unity': 'Cl'}, {'name': 'Sel fin', 'recipe_quantity': '10', 'recipe_unity': 'Gr', 'purchase_quantity': '10', 'purchase_unity': 'Gr'}, {'name': 'Farine de blé tendre ou froment T55 (pour pains)', 'recipe_quantity': '500', 'recipe_unity': 'Gr', 'purchase_quantity': '500', 'purchase_unity': 'Gr'}]",Nicook,Petit budget,Moyen
4,Œufs bacon,Petit déjeuner,"Hiver, Printemps, Été, Automne","Omnivore, Flexitarien","[{'name': 'Persil, séché', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Pain (aliment moyen)', 'recipe_quantity': '80', 'recipe_unity': 'Gr', 'purchase_quantity': '80', 'purchase_unity': 'Gr'}, {'name': 'Tranche de bacon', 'recipe_quantity': '100', 'recipe_unity': 'Gr', 'purchase_quantity': '100', 'purchase_unity': 'Gr'}, {'name': 'Oeuf, cru', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}]",Personnelle,Moyen budget,Facile
5,Smoothie bol aux fruits rouges,Petit déjeuner,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Fruits rouges, crus (framboises, fraises, groseilles, cassis)', 'recipe_quantity': '400', 'recipe_unity': 'Gr', 'purchase_quantity': '400', 'purchase_unity': 'Gr'}, {'name': 'Lait demi-écrémé, UHT', 'recipe_quantity': '20', 'recipe_unity': 'Cl', 'purchase_quantity': '20', 'purchase_unity': 'Cl'}, {'name': 'Miel', 'recipe_quantity': '6', 'recipe_unity': 'Cuillère à soupe', 'purchase_quantity': '0', 'purchase_unity': 'Null'}, {'name': 'Banane plantain, crue', 'recipe_quantity': '4', 'recipe_unity': 'Unité', 'purchase_quantity': '4', 'purchase_unity': 'Unité'}]",Magazine gourmand,Petit budget,Facile
6,Œufs brouillés,Petit déjeuner,"Hiver, Printemps, Été, Automne","Omnivore, Végétarien, Flexitarien","[{'name': 'Oeuf, cru', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': 'Crème fraîche, 30% MG, semi-épaisse, UHT', 'recipe_quantity': '10', 'recipe_unity': 'Gr', 'purchase_quantity': '10', 'purchase_unity': 'Gr'}, {'name': 'Persil, séché', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}]",Personnelle,Petit budget,Facile
7,Salade de fruits d'été,Petit déjeuner,Été,Végétarien,"[{'name': 'Fraise, crue', 'recipe_quantity': '5', 'recipe_unity': 'Unité', 'purchase_quantity': '5', 'purchase_unity': 'Unité'}, {'name': 'Menthe, fraîche', 'recipe_quantity': '5', 'recipe_unity': 'Unité', 'purchase_quantity': '5', 'purchase_unity': 'Unité'}, {'name': 'Nectarine ou brugnon', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}, {'name': 'Abricot, dénoyauté, cru', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}, {'name': 'Citron entier', 'recipe_quantity': '1', 'recipe_unity': 'Unité', 'purchase_quantity': '1', 'purchase_unity': 'Unité'}]",Personnelle,Petit budget,Facile
8,Tartines de pain complets au miel,Petit déjeuner,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Pain complet ou intégral (à la farine T150)', 'recipe_quantity': '60', 'recipe_unity': 'Gr', 'purchase_quantity': '60', 'purchase_unity': 'Gr'}, {'name': 'Miel', 'recipe_quantity': '10', 'recipe_unity': 'Gr', 'purchase_quantity': '10', 'purchase_unity': 'Gr'}, {'name': 'Beurre doux', 'recipe_quantity': '20', 'recipe_unity': 'Gr', 'purchase_quantity': '20', 'purchase_unity': 'Gr'}]",Personnelle,Petit budget,Facile
9,Banana Bread,Dessert,"Hiver, Printemps, Été, Automne",Végétarien,"[{'name': 'Banane plantain, crue', 'recipe_quantity': '4', 'recipe_unity': 'Unité', 'purchase_quantity': '4', 'purchase_unity': 'Unité'}, {'name': 'Farine de blé tendre ou froment T45 (pour pâtisserie)', 'recipe_quantity': '200', 'recipe_unity': 'Gr', 'purchase_quantity': '200', 'purchase_unity': 'Gr'}, {'name': 'Sucre blanc', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Beurre doux', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Lait demi-écrémé, UHT', 'recipe_quantity': '6', 'recipe_unity': 'Cl', 'purchase_quantity': '6', 'purchase_unity': 'Cl'}, {'name': 'Levure chimique ou Poudre à lever', 'recipe_quantity': '0,5', 'recipe_unity': 'Unité', 'purchase_quantity': '0,5', 'purchase_unity': 'Unité'}, {'name': 'Oeuf, cru', 'recipe_quantity': '2', 'recipe_unity': 'Unité', 'purchase_quantity': '2', 'purchase_unity': 'Unité'}]",Les conseils de Cam',Petit budget,Facile
10,Muesli noix amandes,Petit déjeuner,"Hiver, Printemps, Été, Automne","Végétarien, Végan, Paléo","[{'name': ""Flocon d'avoine"", 'recipe_quantity': '250', 'recipe_unity': 'Gr', 'purchase_quantity': '250', 'purchase_unity': 'Gr'}, {'name': 'Noix, séchée, cerneaux', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Figue, sèche', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Raisin, sec', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}, {'name': 'Amande (avec peau)', 'recipe_quantity': '50', 'recipe_unity': 'Gr', 'purchase_quantity': '50', 'purchase_unity': 'Gr'}]",Personnelle,Moyen budget,Facile
